Fecha,Equipo Local,Marcador,Equipo Visitante,Tarjeta Roja Local,Tarjeta Roja Visitante
03-02-2025,Llaneros,2 - 0,Unión Magdalena,0,0
07-02-2025,Unión Magdalena,0 - 0,Junior FC,0,0
11-02-2025,Independiente Medellín,1 - 1,Unión Magdalena,0,0
15-02-2025,Unión Magdalena,0 - 0,La Equidad,0,0
19-02-2025,Unión Magdalena,1 - 3,Millonarios,0,0
25-02-2025,Deportivo Pasto,2 - 1,Unión Magdalena,0,0
02-03-2025,Unión Magdalena,2 - 2,Deportivo Cali,0,0
07-03-2025,Alianza Petrolera,1 - 0,Unión Magdalena,0,0
21-01-2024,Atlético Nacional,3 - 1,Alianza Petrolera,0,0
26-01-2024,Alianza Petrolera,3 - 3,Deportivo Cali,0,0
30-01-2024,Millonarios,1 - 1,Alianza Petrolera,0,0
04-02-2024,Alianza Petrolera,0 - 1,Junior,0,0
06-02-2024,Envigado,1 - 2,Alianza Petrolera,0,0
11-02-2024,Alianza Petrolera,1 - 2,Deportivo Pereira,0,0
18-02-2024,Boyacá Chicó,1 - 0,Alianza Petrolera,0,0
23-02-2024,Alianza Petrolera,2 - 0,Independiente Medellín,0,2
27-02-2024,Fortaleza CEIF,1 - 2,Alianza Petrolera,0,0
03-03-2024,Alianza Petrolera,0 - 1,Santa Fe,0,2
08-03-2024,América de Cali,2 - 0,Alianza Petrolera,0,0
14-03-2024,Alianza Petrolera,1 - 1,Deportivo Pasto,0,0
24-03-2024,Once Caldas,1 - 0,Alianza Petrolera,0,0
28-03-2024,Alianza Petrolera,0 - 2,Deportes Tolima,0,0
06-04-2024,Patriotas Boyacá,0 - 0,Alianza Petrolera,0,0
14-04-2024,Alianza Petrolera,0 - 3,La Equidad,0,0
16-04-2024,Rionegro Águilas,4 - 0,Alianza Petrolera,0,0
20-04-2024,Alianza Petrolera,2 - 1,Jaguares de Córdoba,0,0
27-04-2024,Atlético Bucaramanga,1 - 0,Alianza Petrolera,0,0
17-07-2024,Alianza Petrolera,0 - 2,Atlético Nacional,0,0
21-07-2024,Deportivo Cali,1 - 0,Alianza Petrolera,0,0
27-07-2024,Alianza Petrolera,2 - 1,Millonarios,0,0
03-08-2024,Junior,2 - 2,Alianza Petrolera,0,0
11-08-2024,Alianza Petrolera,1 - 1,Envigado,0,0
23-08-2024,Alianza Petrolera,4 - 0,Boyacá Chicó,0,0
07-09-2024,Alianza Petrolera,1 - 1,Fortaleza CEIF,0,0
12-09-2024,Deportivo Pereira,1 - 0,Alianza Petrolera,0,0
21-09-2024,Alianza Petrolera,0 - 1,América de Cali,0,0
25-09-2024,Santa Fe,2 - 0,Alianza Petrolera,0,0
29-09-2024,Deportivo Pasto,1 - 0,Alianza Petrolera,0,0
05-10-2024,Alianza Petrolera,1 - 0,Once Caldas,0,0
09-10-2024,Independiente Medellín,2 - 0,Alianza Petrolera,0,0
19-10-2024,Deportes Tolima,2 - 0,Alianza Petrolera,0,0
25-10-2024,Alianza Petrolera,1 - 1,Patriotas Boyacá,0,0
01-11-2024,La Equidad,3 - 2,Alianza Petrolera,0,0
05-11-2024,Alianza Petrolera,3 - 0,Rionegro Águilas,0,0
09-11-2024,Jaguares de Córdoba,0 - 0,Alianza Petrolera,0,0
14-11-2024,Alianza Petrolera,0 - 4,Atlético Bucaramanga,0,0
20-01-2024,América de Cali,0 - 1,Rionegro Águilas,0,0
27-01-2024,América de Cali,4 - 1,Atlético Nacional,0,0
31-01-2024,Deportes Tolima,2 - 1,América de Cali,0,0
03-02-2024,América de Cali,1 - 0,Patriotas Boyacá,0,0
07-02-2024,Millonarios,1 - 0,América de Cali,0,0
15-02-2024,América de Cali,0 - 0,Atlético Bucaramanga,0,0
