id_propiedad,zona,piso,estrato,precio_millones,area_construida,parqueaderos,banios,habitaciones,tipo_vivienda,barrio,longitud,latitud,id_comentarios
4014,zona centro,3,3,360.0,230.0,1,5,8,casa,junin,-7652913.0,343.597,22
4015,zona norte,9,6,520.0,110.0,2,3,3,apartamento,chipichape,-7652913.0,347.891,26
4016,zona sur,2,6,550.0,287.0,2,6,4,casa,urbanización río lili,-7652914.0,33.659,12
4017,zona sur,2,4,550.0,420.0,1,5,5,casa,el limonar,-7652914.0,339.926,33
4018,zona sur,2,5,450.0,175.0,1,4,4,casa,el ingenio,-7652917.0,338.074,6
4019,zona sur,10,4,330.0,107.0,1,3,3,apartamento,la hacienda,-7652917.0,338.074,3
4020,zona sur,1,5,550.0,180.0,2,3,3,apartamento,ciudad jardín,-7652918.0,334.466,5
4021,zona sur,1,6,550.0,118.0,2,3,3,apartamento,pance,-7652921.0,334.434,14
4022,zona sur,4,5,320.0,163.0,2,4,4,apartamento,el ingenio,-7652921.0,338.535,25
4023,zona sur,4,5,265.0,62.0,1,2,3,apartamento,la hacienda,-7652921.0,339.525,18
4024,zona sur,4,6,435.0,130.0,2,4,3,apartamento,parcelaciones pance,-7652921.0,333.858,23
4025,zona sur,5,4,220.0,78.0,2,2,3,apartamento,la hacienda,-7652922.0,339.519,13
4026,zona sur,5,4,150.0,70.0,1,2,3,apartamento,colseguros,-7652922.0,342.327,5
4027,zona sur,1,6,1150.0,300.0,6,5,4,casa,pance,-7652923.0,334.467,1
4028,zona sur,1,6,565.0,118.0,2,3,3,apartamento,pance,-7652924.0,334.457,24
4029,zona sur,1,6,515.0,165.0,2,4,3,apartamento,pance,-7652924.0,334.457,33
4030,zona sur,2,6,470.0,118.0,2,3,3,apartamento,pance,-7652924.0,334.526,23
4031,zona sur,1,6,650.0,138.0,3,4,3,apartamento,pance,-7652924.0,334.445,12
4032,zona sur,4,6,460.0,127.0,2,4,4,apartamento,ciudad jardín,-7652925.0,335.765,27
4033,zona sur,2,6,980.0,1000.0,8,5,4,casa,ciudad jardín,-7652928.0,334.673,2
4034,zona sur,1,6,1195.0,450.0,4,3,4,casa,ciudad jardín,-7652928.0,334.673,13
4035,zona sur,3,5,950.0,600.0,4,5,6,casa,el ingenio,-765293.0,338.474,32
4036,zona sur,2,6,800.0,280.0,4,5,4,casa,ciudad jardín,-765293.0,336.096,32
4037,zona sur,3,5,375.0,95.0,2,3,3,casa,la hacienda,-7652934.0,338.829,27
4038,zona norte,7,5,355.0,188.0,1,4,4,apartamento,versalles,-7652934.0,346.553,17
4039,zona sur,4,5,295.0,96.0,1,2,3,apartamento,el ingenio,-7652934.0,338.259,8
4040,zona sur,1,6,360.0,106.0,1,2,3,apartamento,ciudad jardín,-7652934.0,336.679,9
4041,zona sur,4,5,650.0,280.0,1,5,2,casa,prados del limonar,-7652935.0,339.033,10
4042,zona sur,3,3,145.0,59.0,1,1,3,apartamento,el limonar,-7652935.0,337.426,21
4043,zona sur,12,6,330.0,93.0,2,2,3,apartamento,ciudad jardín,-7652939.0,336.186,3
4044,zona sur,4,6,295.0,84.0,1,2,2,apartamento,ciudad jardin,-7652939.0,33.664,23
4045,zona sur,1,6,650.0,252.8,2,4,5,casa,urbanización río lili,-765294.0,336.528,16
4046,zona sur,5,4,180.0,75.0,2,3,4,apartamento,el limonar,-7652941.0,340.178,28
4047,zona sur,2,6,850.0,258.0,3,4,4,casa,ciudad jardín,-7652943.0,335.483,30
4048,zona norte,8,5,246.0,159.38,2,4,4,apartamento,versalles,-7652943.0,346.095,26
4049,zona sur,3,3,362.0,390.0,1,3,7,casa,cristobal colón,-7652944.0,341.033,4
4050,zona sur,2,3,295.0,212.0,1,3,8,casa,cristobal colón,-7652944.0,341.033,34
4051,zona sur,1,6,360.0,115.0,2,4,4,apartamento,el ingenio,-7652944.0,341.033,8
4052,zona sur,2,3,112.0,66.0,1,2,2,apartamento,el guabal,-7652944.0,341.033,23
4053,zona sur,4,5,330.0,126.0,2,2,3,apartamento,el ingenio,-7652946.0,338.506,14
4054,zona sur,3,5,245.0,64.0,1,2,3,apartamento,la hacienda,-7652946.0,339.781,25
4055,zona norte,4,6,800.0,306.0,3,3,3,casa,acopi,-7652947.0,343.372,20
4056,zona norte,1,5,1600.0,942.0,4,4,10,casa,versalles,-765295.0,3466.0,32
4057,zona norte,2,6,750.0,445.0,2,7,6,casa,acopi,-765295.0,338.527,28
4058,zona sur,2,4,550.0,480.0,2,5,7,casa,el limonar,-7652952.0,34.017,6
4059,zona sur,3,5,680.0,300.0,2,5,5,casa,el ingenio,-7652953.0,338.194,11
4060,zona norte,3,5,320.0,143.0,2,2,3,apartamento,versalles,-7652953.0,345.926,17
4061,zona norte,7,4,300.0,126.0,2,4,4,apartamento,versalles,-7652953.0,345.926,12
4062,zona sur,1,6,450.0,130.0,2,4,4,apartamento,ciudad jardín,-7652954.0,335.265,3
