piso,piso,piso,estrato,preciom,areaconst,parquea,banios,habitac,tipo,barrio,longitud,latitud,Id Comentarios
197,Zona Sur,1,4,240,100,1,2,3,Apartamento,el refugio,-7.648.859,34.663,6
198,Zona Norte,6,5,370,83,1,2,2,Apartamento,oasis de comfandi,-7.648.875,345.904,17
199,Zona Norte,2,3,144,110,NA,2,3,Casa,villa del prado,-7.648.888,346.784,7
200,Zona Norte,2,3,270,250,NA,4,7,Casa,los guayacanes,-7.648.888,347.423,2
201,Zona Oriente,NA,3,105,62,1,1,3,Apartamento,las ceibas,-7.648.899,345.279,22
212,Zona Oriente,1,3,190,117.94,1,1,3,Apartamento,siete de agosto,-764.891,344.563,12
213,Zona Oriente,1,3,105,70,NA,1,3,Casa,villa del lago,-7.648.922,344.351,10
214,Zona Norte,NA,3,110,65,NA,2,3,Apartamento,guaduales,-7.648.922,348.292,34
215,Zona Norte,10,4,138,61,NA,2,3,Apartamento,ciudad los álamos,-7.648.922,347.153,30
216,Zona Oriente,4,3,400,550,1,3,2,Casa,la floresta,-764.893,344.576,13
217,Zona Norte,4,3,120,70,1,2,3,Apartamento,los alcazares,-7.648.932,347.942,18
218,Zona Oriente,NA,3,199,144,NA,2,5,Casa,primitivo crespo,-7.648.933,344.454,34
219,Zona Oriente,NA,3,135,126,NA,2,5,Casa,villa del lago,-7.648.939,344.077,20
220,Zona Norte,2,3,145,75,1,2,3,Apartamento,san vicente,-7.648.952,349.576,5
221,Zona Sur,4,5,360,99,1,3,2,Apartamento,el ingenio,-7.648.953,349.684,13
222,Zona Oriente,NA,3,145,110,NA,4,4,Casa,fonaviemcali,-7.648.957,348.533,8
223,Zona Norte,1,4,132,55,1,2,3,Apartamento,los parques barranquilla,-7.648.959,347.501,22
224,Zona Norte,NA,3,155,110,1,3,4,Casa,Villa Del Prado,-7.648.965,346.639,4
225,Zona Norte,NA,3,80,48,1,1,3,Apartamento,la rivera,-7.648.969,347.609,20
226,Zona Oriente,NA,3,310,250,1,2,3,Casa,las ceibas,-7.648.974,345.531,18
227,Zona Norte,NA,3,280,100,NA,2,8,Casa,san luis,-7.648.982,347.992,15
228,Zona Oriente,2,3,150,140,NA,2,3,Apartamento,zona oriente,-7.648.987,344.202,34
229,Zona Norte,11,5,350,137,2,3,4,Apartamento,Prados Del Norte,-7.648.995,34.977,16
230,Zona Norte,2,3,162,75,NA,2,3,Casa,villa del prado,-7.648.999,344.882,1
231,Zona Norte,NA,3,180,138,1,2,5,Casa,la riviera,-76.49,3474,30
232,Zona Norte,NA,3,245,250,1,3,8,Casa,paso del comercio,-76.49,3493,7
233,Zona Oriente,3,3,350,250,NA,4,5,Casa,nueva base,-76.49,3447,22
234,Zona Oriente,3,3,220,150,NA,5,8,Casa,las ceibas,-76.49,3454,22
235,Zona Oriente,3,3,62,63,NA,1,2,Apartamento,villa del lago,-76.49,3438,28
236,Zona Oeste,NA,6,1100,377,2,6,5,Casa,zona oeste,-7.649.003,34.494,18
237,Zona Norte,5,3,128,65,NA,1,2,Apartamento,brisas de los,-7.649.006,349.438,11
238,Zona Norte,NA,5,430,105,NA,3,3,Apartamento,acopi,-7.649.006,346.819,21
239,Zona Oeste,2,6,850,240,2,5,5,Casa,santa teresita,-7.649.016,349.415,18
240,Zona Norte,1,5,320,87,2,2,3,Apartamento,la flora,-764.902,346.879,12
241,Zona Norte,NA,3,140,70,NA,2,3,Casa,brisas de los,-7.649.022,349.374,15
242,Zona Norte,1,3,130,77,NA,3,3,Casa,villa del prado,-764.903,346.829,3
243,Zona Norte,NA,3,190,435,NA,0,0,Casa,acopi,-7.649.032,343.856,19
244,Zona Norte,3,3,85,60,1,1,3,Apartamento,chiminangos,-7.649.036,347.683,11
245,Zona Norte,NA,3,190,90,NA,4,6,Casa,la rivera,-7.649.036,347.367,15
246,Zona Norte,NA,3,110,62,NA,1,3,Casa,villa del prado,-7.649.042,346.639,15
247,Zona Norte,1,4,122,65,1,2,3,Apartamento,metropolitano del norte,-7.649.043,348.057,1
248,Zona Norte,1,3,75,50.64,NA,1,2,Apartamento,chiminangos,-7.649.044,347.682,7
249,Zona Norte,NA,3,110,100,NA,1,3,Apartamento,chiminangos,-7.649.065,347.723,27
250,Zona Oriente,2,3,260,156,NA,2,5,Casa,la nueva base,-7.649.071,344.883,26
251,Zona Norte,3,3,92,53,NA,1,3,Apartamento,los guaduales,-7.649.072,343.988,4
252,Zona Norte,5,3,110,64,1,1,3,Apartamento,metropolitano del norte,-7.649.081,348.314,1
253,Zona Sur,3,4,210,80,1,3,3,CASA,primero de mayo,-7.649.098,347.283,34
265,Zona Oriente,1,3,130,62,NA,1,3,Apartamento,la nueva base,-7.649.105,344.739,33
266,Zona Oriente,1,3,100,75,NA,1,3,Apartamento,la nueva base,-7.649.105,344.739,12
267,Zona Oriente,NA,3,80,90,NA,1,3,Casa,villa del lago,-7.649.116,343.816,9
268,Zona Norte,5,3,135,60,1,2,3,Apartamento,metropolitano del norte,-7.649.116,348.158,11
269,Zona Norte,NA,3,77,55,NA,1,3,Apartamento,chiminangos,-7.649.119,347.606,30
270,Zona Norte,NA,3,65,60,NA,1,3,Apartamento,Chiminangos,-764.913,347.745,12
271,Zona Norte,3,3,310,242,NA,3,9,Casa,villa del prado,-7.649.133,346.608,32
272,Zona Norte,4,3,80,60,NA,1,3,Apartamento,los alcazares,-7.649.136,348.549,13
273,Zona Norte,NA,3,100,70,1,2,3,Apartamento,metropolitano del norte,-7.649.142,347.963,11
274,Zona Norte,2,4,180,73,1,2,3,Apartamento,metropolitano del norte,-7.649.158,34.824,6
275,Zona Oeste,NA,3,85,57,NA,1,3,Apartamento,norte,-7.649.159,347.508,4
276,Zona Norte,NA,3,70,60,NA,1,3,Apartamento,los alcazares,-7.649.159,348.695,34
277,Zona Oriente,5,3,87,55,NA,1,3,Apartamento,la nueva base,-7.649.171,344.655,24
278,Zona Norte,NA,3,95,46,1,1,2,Apartamento,metropolitano del norte,-7.649.173,348.162,5
279,Zona Norte,NA,3,76,49,1,1,3,Apartamento,los alcazares,-7.649.173,348.801,21
280,Zona Norte,NA,3,132,90,NA,2,3,Casa,villa del prado,-7.649.174,346.544,9
281,Zona Norte,2,3,155,90,NA,2,3,Casa,villa del prado,-7.649.174,346.544,30
282,Zona Norte,2,3,118,115,NA,1,3,Casa,villa del prado,-7.649.174,346.544,5
283,Zona Norte,NA,3,145,70,NA,2,3,Casa,villa del prado,-7.649.174,346.544,29
284,Zona Sur,2,5,600,280,2,4,5,Casa,el limonar,-7.649.177,34.466,6
285,Zona Norte,1,3,96,45,NA,1,3,Apartamento,los alcazares,-7.649.178,348.867,5
286,Zona Norte,NA,3,135,72,NA,2,3,Apartamento,metropolitano del norte,-764.918,348.018,25
287,Zona Norte,5,3,75,60,NA,1,3,Apartamento,los alcazares,-7.649.182,348.713,25
288,Zona Norte,4,3,170,130,NA,2,3,Casa,villas de veracruz,-7.649.188,347.324,34
289,Zona Norte,NA,3,117,120,NA,1,3,Casa,villa del prado,-7.649.189,346.657,18
290,Zona Sur,8,5,300,86,2,2,2,Apartamento,el refugio,-7.649.191,344.648,11
291,Zona Norte,3,3,115,57,1,2,3,Apartamento,los alcazares,-7.649.197,348.571,32
292,Zona Norte,2,3,165,142,NA,4,6,Casa,floralia,-7.649.198,349.341,22
302,Zona Norte,NA,3,78,44,1,1,3,Apartamento,los alcazares,-7.649.205,3489,4
303,Zona Oriente,NA,3,93,80,1,1,3,Casa,villa del lago,-7.649.211,343.719,13
304,Zona Norte,2,3,120,120,NA,2,3,Casa,floralia,-7.649.224,349.461,1
305,Zona Norte,4,3,92,58,NA,1,3,Apartamento,los alcazares,-7.649.239,348.746,12
306,Zona Norte,1,3,127,60,NA,2,3,Apartamento,los andes,-7.649.257,347.067,34
307,Zona Norte,2,3,280,137,2,3,4,Casa,paseo de los,-7.649.259,34.704,26
308,Zona Norte,NA,3,98,90,NA,2,4,Apartamento,los guayacanes,-764.926,347.004,33
309,Zona Norte,NA,3,250,240,1,2,4,Casa,barranquilla,-7.649.265,347.429,25
310,Zona Norte,4,3,105,59,1,2,3,Apartamento,los alcazares,-7.649.266,348.552,14
311,Zona Norte,3,3,122,58,1,2,3,Apartamento,los alcazares,-7.649.266,348.552,14
312,Zona Norte,NA,3,250,72,NA,1,3,Casa,la rivera,-7.649.275,347.379,13
313,Zona Norte,NA,3,210,60,NA,2,3,Casa,villa del prado,-7.649.277,346.554,29
314,Zona Norte,2,3,89,64,NA,1,3,Apartamento,chiminangos,-7.649.283,34.771,3
315,Zona Sur,1,6,1650,1500,4,5,3,CASA,pance,-7.649.299,346.805,17
331,Zona Norte,2,3,86,64,NA,1,3,Apartamento,chiminangos,-7.649.306,347.712,7
332,Zona Norte,5,3,93,64,NA,1,3,Apartamento,chiminangos,-7.649.316,34.777,18
333,Zona Norte,NA,3,155,75,NA,2,3,Casa,villa del prado,-7.649.317,346.587,31
334,Zona Norte,NA,3,170,62,NA,2,3,Casa,villa del prado,-7.649.318,346.711,5
335,Zona Norte,NA,3,87,62,NA,1,3,Apartamento,chiminangos,-7.649.318,347.818,11
336,Zona Norte,NA,3,87,62,NA,1,3,Apartamento,chiminangos,-7.649.318,347.818,1
337,Zona Norte,NA,3,72,61,NA,1,3,Apartamento,chiminangos,-7.649.318,347.816,3
338,Zona Norte,1,3,119,58,1,2,3,Apartamento,los alcazares,-7.649.326,348.695,4
339,Zona Norte,3,3,240,150,NA,3,4,Casa,villa del prado,-7.649.329,346.716,19
340,Zona Norte,NA,3,215,120,NA,3,3,Casa,villa del prado,-7.649.332,346.662,21
341,Zona Norte,NA,3,117,60,NA,1,3,Apartamento,chiminangos,-7.649.353,347.946,22
342,Zona Norte,2,3,120,75,NA,1,3,Casa,villa del prado,-7.649.355,346.583,3
343,Zona Norte,NA,3,200,160,NA,3,4,Casa,villa del prado,-7.649.358,346.639,5
344,Zona Norte,5,3,85,62,NA,1,3,Apartamento,chiminangos,-7.649.359,347.579,13
345,Zona Sur,1,5,265,65,1,2,3,Apartamento,la hacienda,-7.649.361,348.346,12
346,Zona Norte,NA,4,170,77,NA,2,2,Casa,villa del sol,-7.649.373,348.202,19
347,Zona Norte,1,3,215,120,NA,2,4,Casa,los andes,-7.649.385,346.896,1
364,Zona Norte,3,4,160,120,NA,2,3,Casa,villa del sol,-7.649.404,348.257,21
365,Zona Oriente,NA,3,150,122,1,1,4,Casa,la base,-7.649.406,344.842,25
366,Zona Norte,NA,3,110,58,NA,2,3,Apartamento,metropolitano del norte,-7.649.409,348.462,32
367,Zona Norte,NA,3,176,75,NA,2,3,Casa,barranquilla,-764.942,347.644,23
368,Zona Norte,5,3,105,60,NA,2,3,Apartamento,oasis de comfandi,-7.649.422,348.461,23
369,Zona Norte,5,3,109,58,1,2,3,Apartamento,zona norte,-7.649.445,348.438,31
370,Zona Norte,5,3,75,62,NA,1,3,Apartamento,chiminangos,-7.649.445,347.907,30
371,Zona Norte,NA,3,120,65,1,2,3,Apartamento,villa del parque,-7.649.447,347.692,12
372,Zona Norte,NA,3,113,58,NA,2,3,Apartamento,barranquilla,-7.649.447,347.698,12
373,Zona Norte,NA,3,250,120,1,3,5,Casa,los andes,-7.649.451,346.812,25
374,Zona Oriente,NA,3,430,503,NA,4,6,Casa,la base,-7.649.452,344.947,34
375,Zona Norte,NA,3,280,240,2,4,6,Casa,los andes,-7.649.454,347.417,9
376,Zona Norte,NA,4,145,63,1,2,3,Apartamento,villa del sol,-7.649.462,34.831,3
377,Zona Norte,5,3,155,60,1,2,3,Apartamento,villa del sol,-7.649.462,34.831,13
378,Zona Norte,NA,3,130,68,1,2,3,Apartamento,villa del sol,-7.649.462,34.831,25
379,Zona Norte,2,3,170,65,1,2,3,Apartamento,metropolitano del norte,-7.649.469,347.793,5
380,Zona Norte,11,5,350,104,2,3,3,Apartamento,la flora,-7.649.473,349.195,7
381,Zona Norte,9,5,285,84,1,2,3,Apartamento,la flora,-7.649.474,349.196,7
382,Zona Norte,7,5,300,88,1,3,3,Apartamento,la flora,-7.649.474,349.196,13
383,Zona Norte,3,3,170,120,NA,2,3,Casa,villas de veracruz,-7.649.474,346.602,11
384,Zona Oriente,NA,3,240,102,3,2,2,Casa,nueva floresta,-7.649.475,344.002,6
385,Zona Norte,4,6,378,96.81,2,3,3,Apartamento,altos de menga,-7.649.477,345.232,16
386,Zona Norte,NA,4,240,82,1,3,4,Casa,villa del sol,-7.649.478,348.298,11
387,Zona Norte,5,3,99,58,NA,1,3,Apartamento,puente del comercio,-764.948,348.695,17
388,Zona Norte,4,3,113,57,1,2,3,Apartamento,los parques barranquilla,-764.948,347.787,32
389,Zona Norte,3,3,235,200,NA,3,3,Casa,villa del prado,-7.649.483,346.628,10
390,Zona Oriente,1,3,185,132,1,2,4,Casa,la base,-7.649.487,345.007,1
402,Zona Oriente,NA,3,399,503,NA,4,6,Casa,la base,-7.649.506,345.049,23
403,Zona Norte,2,5,780,500,2,2,4,Casa,la flora,-764.951,346.654,2
404,Zona Norte,4,3,140,62,1,2,3,Apartamento,villa del sol,-764.951,347.907,11
405,Zona Norte,4,3,115,58,1,2,3,Apartamento,metropolitano del norte,-764.951,34.848,12
406,Zona Norte,3,4,170,120,NA,2,3,Casa,calima,-7.649.519,348.211,31
407,Zona Sur,NA,3,170,74,1,2,3,Casa,zona sur,-7.649.519,348.123,30
408,Zona Norte,NA,3,170,74,1,2,3,Casa,villa del sol,-7.649.519,348.123,5
409,Zona Norte,5,3,130,66,1,2,3,Apartamento,villa del sol,-7.649.519,348.123,17
410,Zona Norte,3,4,160,120,NA,2,3,Casa,villa del sol,-7.649.523,348.207,7
411,Zona Norte,3,4,170,120,NA,2,3,Casa,villa del sol,-7.649.527,348.108,26
412,Zona Norte,4,3,140,65,1,2,3,Apartamento,villa del sol,-7.649.527,348.142,24
413,Zona Norte,4,3,130,62,1,1,3,Apartamento,villa del prado,-7.649.527,348.734,15
414,Zona Oeste,2,3,360,257,NA,4,5,Casa,miraflores,-7.649.528,344.153,23
415,Zona Norte,NA,5,390,84,1,2,3,Apartamento,la flora,-7.649.529,346.589,28
416,Zona Norte,1,4,185,58,1,2,3,Apartamento,los andes,-7.649.532,346.861,33
417,Zona Norte,5,3,99,58,NA,1,3,Apartamento,puente del comercio,-7.649.532,348.609,17
418,Zona Sur,NA,4,255,128,1,3,3,Casa,santa anita,-7.649.534,345.004,9
419,Zona Norte,3,3,160,115,NA,3,4,CASA,villa del prado,-7.649.535,346.622,4
420,Zona Norte,3,4,160,120,NA,2,3,CASA,villa del sol,-7.649.545,348.172,8
421,Zona Oriente,NA,3,350,320,1,4,6,CASA,la base,-7.649.548,34.502,13
422,Zona Norte,5,3,98,59,1,2,3,Apartamento,oasis de comfandi,-7.649.548,348.763,15
423,Zona Norte,4,3,155,70,1,2,3,Apartamento,los andes,-7.649.548,346.647,34
424,Zona Oriente,NA,3,380,398,NA,4,10,Casa,la base,-7.649.554,344.771,27
425,Zona Oriente,3,3,310,243,NA,3,5,Casa,la base,-7.649.559,344.975,34
426,Zona Oriente,1,3,136,56,NA,1,3,Apartamento,la base,-7.649.559,344.975,32
427,Zona Norte,4,3,145,65,1,2,3,Apartamento,villa del sol,-7.649.561,348.125,18
428,Zona Norte,2,3,160,100,NA,2,3,Casa,villa del prado,-7.649.565,346.688,28
429,Zona Sur,5,4,210,104,1,3,3,Apartamento,el refugio,-7.649.568,346.879,14
430,Zona Sur,2,4,430,330,1,4,5,Casa,colseguros,-7.649.571,341.717,2
431,Zona Norte,3,3,115,58,NA,1,3,Apartamento,puente del comercio,-7.649.574,348.686,27
432,Zona Norte,1,3,180,150,1,2,4,Casa,san luis,-7.649.575,347.561,30
433,Zona Norte,NA,3,243,150,NA,4,4,Casa,barranquilla,-7.649.575,346.901,22
434,Zona Norte,5,3,98,59,NA,1,3,Apartamento,torres de comfandi,-7.649.575,347.561,12
435,Zona Norte,5,3,125,53,1,2,3,Apartamento,metropolitano del norte,-7.649.582,34.839,19
436,Zona Norte,2,3,140,65,1,2,3,Apartamento,metropolitano del norte,-7.649.582,34.839,21
437,Zona Norte,NA,3,145,60,1,2,3,Apartamento,zona residencial,-7.649.583,348.168,8
438,Zona Norte,5,3,105,58,2,2,3,Apartamento,los andes,-7.649.583,346.921,10
439,Zona Norte,5,3,95,60,1,2,3,Apartamento,metropolitano del norte,-7.649.584,348.422,17
440,Zona Centro,5,3,105,52,NA,1,3,Apartamento,torres de comfandi,-7.649.593,347.513,11
441,Zona Norte,NA,3,140,75,NA,2,3,Casa,villa del prado,-7.649.597,346.676,17
454,Zona Norte,2,3,290,170,1,2,4,Casa,paseo de los,-7.649.603,347.117,21
455,Zona Norte,1,3,110,65,NA,1,3,Apartamento,barranquilla,-7.649.607,347.609,26
456,Zona Norte,NA,4,250,94,1,3,3,Casa,metropolitano del norte,-7.649.612,348.242,18
457,Zona Norte,NA,3,300,195,2,4,4,Casa,salomia,-7.649.622,34.629,32
458,Zona Norte,NA,3,99,58,NA,1,3,Apartamento,oasis de comfandi,-7.649.622,348.697,1
459,Zona Norte,NA,5,350,160,2,3,3,Casa,la flora,-7.649.632,346.661,30
460,Zona Norte,5,4,160,72,1,2,3,Apartamento,los parques barranquilla,-7.649.637,34.751,18
461,Zona Norte,5,3,108,57,1,1,3,Apartamento,torres de comfandi,-7.649.641,347.493,33
462,Zona Norte,3,3,91,63,NA,1,3,Apartamento,los guaduales,-7.649.643,349.187,20
463,Zona Sur,4,4,190,61,1,2,3,Apartamento,valle del lili,-7.649.656,340.919,1
464,Zona Norte,2,4,330,165,1,4,4,Casa,el bosque,-7.649.657,34.514,16
465,Zona Norte,4,3,90,53,NA,1,3,Apartamento,puente del comercio,-7.649.667,348.821,22
466,Zona Norte,1,3,200,132,1,3,3,Casa,los andes,-7.649.669,346.939,25
467,Zona Norte,3,3,95,60,NA,1,3,Apartamento,los guaduales,-7.649.673,349.392,26
468,Zona Oriente,1,3,112,147,1,2,4,Apartamento,nueva floresta,-7.649.679,343.533,17
469,Zona Norte,4,3,95,55,1,2,3,Apartamento,los guaduales,-764.968,34.938,18
470,Zona Norte,5,3,93,60,NA,1,3,Apartamento,los guaduales,-764.968,34.938,29
471,Zona Norte,NA,3,85,60,NA,1,3,Apartamento,los guaduales,-7.649.683,34.915,25
472,Zona Norte,1,3,117,60,NA,1,3,Apartamento,torres de comfandi,-7.649.686,348.748,11
473,Zona Norte,4,5,300,108,2,4,4,Apartamento,La Flora,-7.649.686,346.536,18
474,Zona Norte,NA,3,89,57,NA,1,3,Apartamento,los guaduales,-7.649.692,34.941,14
475,Zona Norte,3,3,95,60,NA,1,3,Apartamento,los guaduales,-7.649.693,349.395,18
486,Zona Norte,NA,3,105,65,NA,2,3,Apartamento,metropolitano del norte,-7.649.702,348.056,8
487,Zona Norte,3,3,198,55,NA,2,4,Casa,villas de veracruz,-7.649.703,347.573,14
488,Zona Norte,NA,3,108,54,NA,1,3,Apartamento,zona norte,-7.649.703,348.575,28
489,Zona Oeste,2,6,1250,628,2,6,5,Casa,santa teresita,-7.649.706,346.972,20
490,Zona Norte,NA,3,140,65,1,2,3,Apartamento,villa del sol,-7.649.706,347.986,22
491,Zona Norte,5,4,120,53,1,2,3,Apartamento,metropolitano del norte,-7.649.707,348.408,22
492,Zona Norte,5,3,99,55,NA,1,3,Apartamento,torres de comfandi,-7.649.712,347.368,9
493,Zona Norte,NA,4,190,86,NA,2,3,Casa,villa del sol,-7.649.732,348.139,22
494,Zona Oriente,2,3,255,202,1,2,7,Casa,nueva floresta,-7.649.738,343.843,28
495,Zona Norte,NA,3,180,120,NA,3,4,Casa,villas de veracruz,-7.649.744,347.553,31
496,Zona Oriente,5,3,108,63,1,2,3,Apartamento,las ceibas,-7.649.747,344.892,24
497,Zona Oriente,1,3,255,177,1,4,5,Casa,la base,-764.975,344.864,24
498,Zona Norte,2,3,160,100,NA,3,3,Casa,Villas De Veracruz,-7.649.753,347.569,8
499,Zona Norte,3,4,215,75,1,3,3,CASA,villa del sol,-7.649.754,348.181,34
500,Zona Oeste,NA,5,330,281.5,1,2,6,CASA,santa isabel,-7.649.755,340.952,4
501,Zona Sur,2,4,460,330,2,5,9,CASA,san fernando,-7.649.755,340.952,16
502,Zona Norte,NA,3,190,30,1,2,3,Casa,zona norte,-7.649.763,347.273,33
503,Zona Oriente,3,3,255,252,1,4,6,Casa,villa colombia,-7.649.764,344.855,1
504,Zona Norte,NA,3,180,120,NA,3,3,Casa,acopi,-7.649.768,34.706,30
505,Zona Oeste,NA,3,143,57,NA,2,3,Apartamento,zona norte,-7.649.777,347.775,24
506,Zona Norte,3,4,253,85,1,3,3,Casa,zona norte,-764.978,348.088,11
507,Zona Norte,NA,3,135,59,1,2,3,Apartamento,los alamos,-764.978,348.738,7
508,Zona Oriente,2,3,115,60,NA,2,3,Apartamento,la base,-764.978,345.129,16
509,Zona Norte,5,6,820,377,1,4,4,Apartamento,acopi,-764.978,347.663,31
510,Zona Norte,1,3,125,58,NA,1,3,Apartamento,torres de comfandi,-7.649.783,347.512,18
511,Zona Norte,2,3,168,90,NA,2,4,Casa,los andes,-7.649.784,346.898,3
512,Zona Norte,NA,3,89,55,1,1,3,Apartamento,torres de comfandi,-7.649.789,347.513,17
513,Zona Norte,3,5,290,190,2,3,3,Apartamento,zona norte,-7.649.792,344.491,25
514,Zona Oriente,NA,3,115,68,NA,1,3,Casa,calipso,-7.649.793,342.406,21
515,Zona Norte,NA,4,280,180,NA,3,4,Casa,los andes,-7.649.796,346.882,33
516,Zona Norte,4,3,110,53,1,1,3,Apartamento,los guaduales,-7.649.799,349.178,33
517,Zona Norte,NA,3,119,57,NA,1,3,Apartamento,torres de comfandi,-7.649.799,347.496,7
531,Zona Norte,3,3,105,55,NA,1,3,Apartamento,torres de comfandi,-7.649.805,347.477,21
532,Zona Norte,1,3,120,58,1,1,3,Apartamento,torres de comfandi,-764.981,347.504,6
533,Zona Norte,NA,3,130,54,1,2,3,Apartamento,la alianza,-7.649.813,347.672,20
534,Zona Norte,3,3,370,1440,1,4,10,Casa,villa del prado,-7.649.815,346.343,24
535,Zona Norte,1,3,235,165,1,3,3,Casa,torres de comfandi,-7.649.823,348.018,28
536,Zona Norte,NA,3,120,61,NA,2,4,CASA,zona oriente,-7.649.824,340.468,4
537,Zona Norte,4,3,118,62,NA,1,3,Apartamento,salomia,-7.649.827,346.595,2
538,Zona Oriente,NA,3,235,250,1,3,6,Casa,el tr√©bol,-7.649.838,344.389,4
539,Zona Sur,10,5,236,102,1,3,4,Apartamento,nueva tequendama,-7.649.838,345.246,16
540,Zona Norte,3,3,85,60,NA,1,3,Apartamento,la rivera,-7.649.847,347.479,32
541,Zona Norte,NA,4,160,135,NA,3,4,Casa,los andes,-7.649.849,347.198,12
542,Zona Oriente,4,3,430,350,1,9,9,Casa,las ceibas,-7.649.856,343.527,30
543,Zona Norte,NA,3,235,122,1,2,5,Casa,los guaduales,-7.649.857,349.055,29
544,Zona Norte,NA,3,115,64,NA,1,3,Apartamento,salomia,-7.649.858,346.462,28
545,Zona Sur,2,5,440,420,2,5,6,Casa,pampa linda,-764.986,348.105,9
546,Zona Oriente,3,3,150,150,NA,3,5,Casa,calipso,-7.649.865,342.517,10
547,Zona Norte,4,6,370,113,1,3,4,Apartamento,el bosque,-7.649.867,344.005,7
548,Zona Norte,8,3,140,58,NA,2,3,Apartamento,torres de comfandi,-764.987,34.777,22
549,Zona Norte,NA,4,220,100,1,4,4,Casa,salomia,-7.649.875,34.608,16
550,Zona Norte,5,4,215,72,1,2,3,Apartamento,zona norte los,-7.649.875,347.778,28
551,Zona Norte,1,3,120,54,1,1,3,Apartamento,torres de comfandi,-7.649.875,347.484,25
552,Zona Oriente,NA,3,85,62,NA,2,3,Apartamento,calipso,-7.649.875,342.423,28
553,Zona Norte,NA,3,120,55,NA,1,3,Apartamento,brisas de los,-7.649.876,349.659,6
554,Zona Oriente,2,3,150,95,NA,3,4,Casa,calipso,-7.649.883,342.518,25
555,Zona Oriente,3,3,78,55,NA,1,3,Apartamento,calipso,-7.649.883,342.518,21
556,Zona Norte,NA,3,135,52,NA,1,3,Apartamento,alameda del río,-764.989,349.666,27
557,Zona Oriente,3,3,140,70,1,3,4,Casa,el vallado,-7.649.892,340.603,30
558,Zona Norte,2,3,130,90,NA,2,3,Casa,los guaduales,-7.649.896,349.055,33
559,Zona Norte,2,3,175,135,1,3,4,Casa,los guaduales,-7.649.897,34.909,2
560,Zona Norte,1,3,130,100,NA,3,3,Casa,los guaduales,-7.649.897,34.909,19
561,Zona Norte,2,3,130,68,NA,2,3,Casa,los guaduales,-7.649.897,34.909,5
562,Zona Norte,1,3,195,128,1,2,4,Casa,los guaduales,-7.649.897,34.909,18
563,Zona Norte,1,3,97,55,NA,1,3,Apartamento,los guaduales,-7.649.897,34.909,25
564,Zona Norte,4,3,95,54,NA,1,3,Apartamento,los guaduales,-7.649.897,34.909,26
565,Zona Norte,NA,3,500,210,NA,6,6,Casa,acopi,-7.649.899,344.843,24
566,Zona Norte,4,3,120,64,NA,1,3,Apartamento,salomia,-7.649.899,346.461,7
567,Zona Norte,NA,3,199,176,NA,1,5,Apartamento,acopi,-7.649.899,344.843,31
586,Zona Oeste,NA,3,110,62,NA,1,3,Apartamento,norte,-7.649.902,347.585,19
587,Zona Oriente,2,3,160,120,NA,2,4,Casa,nueva floresta,-7.649.907,344.195,19
588,Zona Norte,5,4,145,55,1,2,3,Apartamento,torres de comfandi,-7.649.909,347.898,1
589,Zona Norte,NA,5,320,235,NA,4,4,Apartamento,acopi,-7.649.911,344.901,13
590,Zona Norte,7,3,135,54,NA,2,3,apto,barranquilla,-7.649.918,347.864,10
591,Zona Oriente,1,3,350,72,1,4,10,Casa,zona oriente,-7.649.918,342.603,30
592,Zona Norte,3,3,350,265,NA,5,7,Casa,los guaduales,-764.992,349.241,25
593,Zona Norte,NA,3,90,58,NA,2,3,Apartamento,torres de comfandi,-764.992,347.617,24
594,Zona Norte,4,3,128,60,1,2,3,Apartamento,los andes,-7.649.926,34.729,17
595,Zona Norte,NA,3,115,160,NA,1,3,Casa,villa del prado,-7.649.929,347.094,11
596,Zona Norte,3,3,280,180,1,4,5,Casa,zona norte,-7.649.931,347.817,18
597,Zona Norte,3,3,350,264,NA,5,7,Casa,los guaduales,-7.649.933,349.239,33
598,Zona Norte,1,3,130,54,NA,2,3,Apartamento,los andes,-7.649.938,347.069,28
599,Zona Norte,8,3,140,58,NA,2,3,Apartamento,villa del sol,-7.649.939,347.774,16
600,Zona Oriente,NA,3,240,128,1,3,8,Casa,fenalco kennedy,-764.994,343.795,29
601,Zona Norte,5,3,98,59,1,1,3,Apartamento,torres de comfandi,-7.649.949,34.745,30
602,Zona Oriente,1,3,145,138,NA,1,2,Casa,nueva floresta,-7.649.955,34.318,33
603,Zona Norte,NA,3,110,58,1,1,3,Apartamento,torres de comfandi,-764.996,347.489,20
604,Zona Norte,NA,5,520,455,NA,5,4,Casa,acopi,-7.649.966,346.284,1
605,Zona Sur,2,4,950,700,1,4,6,Casa,san fernando viejo,-7.649.971,343.219,7
606,Zona Norte,5,3,120,58,NA,1,3,Apartamento,torres de comfandi,-7.649.975,347.596,25
607,Zona Sur,2,4,170,61,NA,2,2,Apartamento,valle del lili,-7.649.983,342.908,32
608,Zona Sur,10,4,139,59,NA,2,2,Apartamento,valle del lili,-7.649.983,342.908,18
609,Zona Norte,4,3,96,56,NA,2,3,Apartamento,brisas de los,-7.649.991,349.573,26
610,Zona Oriente,3,3,345,185,1,4,10,Casa,villa colombia,-7.649.992,345.014,28
611,Zona Norte,2,3,380,300,2,5,8,Casa,salomia,-7.649.992,34.682,26
